,Conf_details,Conf_methods,Loc,Block,Loc_details
106,telephony/java/android/telephony/ims/ImsCallSession.java,"['void android.telephony.ims.ImsCallSession.Listener.callSessionPropertyChanged(int)', 'void android.telephony.ims.ImsCallSession.IImsCallSessionListenerProxy.callSessionPropertyChanged(int)']",15,2,"[(448, 453, 6), (1412, 1420, 9)]"
107,services/core/java/com/android/server/LocationManagerService.java,"['void com.android.server.LocationManagerService.loadProvidersLocked()', 'void com.android.server.LocationManagerService.LocationWorkerHandler.handleMessage(Message)', 'Location com.android.server.LocationManagerService.screenLocationLocked(Location,String)', 'boolean com.android.server.LocationManagerService.isMockProvider(String)', 'void com.android.server.LocationManagerService.handleLocationChanged(Location,boolean)', 'void com.android.server.LocationManagerService.LocationWorkerHandler.<init>(Looper)']",171,2,"[(697, 722, 26), (3242, 3386, 145)]"
108,services/core/java/com/android/server/wm/ActivityStack.java,[],2,1,"[(179, 180, 2)]"
109,telephony/java/android/telephony/ims/compat/stub/ImsCallSessionImplBase.java,['void android.telephony.ims.compat.stub.ImsCallSessionImplBase.ImsCallSessionListenerConverter.callSessionPropertyChanged(int)'],2,1,"[(596, 597, 2)]"
110,telecomm/java/android/telecom/Connection.java,[],12,2,"[(522, 527, 6), (645, 650, 6)]"
111,services/core/java/com/android/server/am/ActivityManagerService.java,"['boolean com.android.server.am.ActivityManagerService.applyOomAdjLocked(ProcessRecord,boolean,long,long)', 'void com.android.server.am.ActivityManagerService.updateOomAdjLocked()']",711,4,"[(81, 82, 2), (545, 548, 4), (17066, 17350, 285), (17831, 18250, 420)]"
112,services/net/java/android/net/ip/IpClient.java,"['boolean android.net.ip.IpClient.ProvisioningConfiguration.isValid()', 'boolean android.net.ip.IpClient.InitialConfiguration.isProvisionedBy(List<LinkAddress>,List<RouteInfo>)', 'void android.net.ip.IpClient.ProvisioningConfiguration.<init>(ProvisioningConfiguration)', 'boolean android.net.ip.IpClient.InitialConfiguration.isPrefixLengthCompliant(IpPrefix)', 'boolean android.net.ip.IpClient.InitialConfiguration.isIPv6DefaultRoute(IpPrefix)', 'boolean android.net.ip.IpClient.InitialConfiguration.isIPv6GUA(LinkAddress)', 'InitialConfiguration android.net.ip.IpClient.InitialConfiguration.copy(InitialConfiguration)', 'void android.net.ip.IpClient.ProvisioningConfiguration.<init>()', 'boolean android.net.ip.IpClient.InitialConfiguration.isDirectlyConnectedRoute(RouteInfo,IpPrefix)', 'boolean android.net.ip.IpClient.InitialConfiguration.isPrefixLengthCompliant(LinkAddress)', 'boolean android.net.ip.IpClient.InitialConfiguration.isValid()', 'String android.net.ip.IpClient.ProvisioningConfiguration.toString()', 'boolean android.net.ip.IpClient.InitialConfiguration.isCompliantIPv6PrefixLength(int)', 'String android.net.ip.IpClient.InitialConfiguration.toString()']",179,1,"[(419, 597, 179)]"
113,telephony/java/android/telephony/ims/ImsCallSessionListener.java,['void android.telephony.ims.ImsCallSessionListener.callSessionPropertyChanged(int)'],8,1,"[(604, 611, 8)]"
114,core/java/android/bluetooth/BluetoothAdapter.java,"['void android.bluetooth.BluetoothAdapter.closeProfileProxy(int,BluetoothProfile)']",8,1,"[(2567, 2574, 8)]"
115,services/core/java/com/android/server/connectivity/NetworkAgentInfo.java,['void com.android.server.connectivity.NetworkAgentInfo.updateClat(INetworkManagementService)'],8,2,"[(19, 22, 4), (579, 582, 4)]"
116,wifi/java/android/net/wifi/WifiConfiguration.java,[],15,2,"[(153, 166, 14), (172, 172, 1)]"
117,services/core/java/com/android/server/ConnectivityService.java,[],0,1,"[(0, 0, 0)]"
118,packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java,[],1,1,"[(156, 156, 1)]"
119,packages/SystemUI/src/com/android/systemui/statusbar/policy/TelephonyIcons.java,[],67,2,"[(38, 40, 3), (219, 282, 64)]"
120,packages/SystemUI/src/com/android/keyguard/KeyguardSimPukView.java,[],1,1,"[(79, 79, 1)]"
121,packages/SystemUI/src/com/android/keyguard/KeyguardSimPinView.java,[],12,1,"[(70, 81, 12)]"
122,services/core/java/com/android/server/LocationManagerService.java,"['void com.android.server.LocationManagerService.handleLocationChanged(Location,boolean)']",10,1,"[(3232, 3241, 10)]"
123,media/java/android/media/MediaRecorder.java,[],12,2,"[(454, 459, 6), (484, 489, 6)]"
124,services/core/java/com/android/server/pm/PackageVerificationState.java,"['boolean com.android.server.pm.PackageVerificationState.isVerificationComplete()', 'boolean com.android.server.pm.PackageVerificationState.isInstallAllowed()']",12,2,"[(146, 151, 6), (168, 173, 6)]"
125,packages/SystemUI/src/com/android/systemui/statusbar/policy/WifiSignalController.java,"['void com.android.systemui.statusbar.policy.WifiSignalController.<init>(Context,boolean,CallbackHandler,NetworkControllerImpl,WifiManager)']",2,1,"[(56, 57, 2)]"
126,packages/SystemUI/src/com/android/systemui/statusbar/policy/HotspotControllerImpl.java,['void com.android.systemui.statusbar.policy.HotspotControllerImpl.updateWifiStateListeners(boolean)'],3,1,"[(116, 118, 3)]"
127,telecomm/java/android/telecom/Connection.java,[],6,1,"[(640, 645, 6)]"
128,services/core/java/com/android/server/BluetoothManagerService.java,[],1,1,"[(16, 16, 1)]"
129,packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java,['void com.android.systemui.statusbar.policy.MobileSignalController.updateTelephony()'],22,2,"[(28, 30, 3), (591, 609, 19)]"
130,telephony/java/com/android/internal/telephony/RILConstants.java,[],31,1,"[(131, 161, 31)]"
131,packages/SettingsLib/src/com/android/settingslib/wifi/WifiTracker.java,[],0,1,"[(0, 0, 0)]"
132,packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkControllerImpl.java,['Config com.android.systemui.statusbar.policy.NetworkControllerImpl.Config.readConfig(Context)'],3,1,"[(1073, 1075, 3)]"
133,packages/SystemUI/src/com/android/systemui/qs/QSPanel.java,['void com.android.systemui.qs.QSPanel.updateResources()'],4,1,"[(288, 291, 4)]"
134,services/core/java/com/android/server/am/ActivityManagerService.java,"['void com.android.server.am.ActivityManagerService.handleAppDiedLocked(ProcessRecord,boolean,boolean)']",1,1,"[(5998, 5998, 1)]"
135,telephony/java/android/telephony/CarrierConfigManager.java,[],1,1,"[(2046, 2046, 1)]"
136,services/core/java/com/android/server/connectivity/Tethering.java,[],2,1,"[(43, 44, 2)]"
137,wifi/java/android/net/wifi/p2p/WifiP2pManager.java,[],5,1,"[(506, 510, 5)]"
138,services/core/java/com/android/server/ConnectivityService.java,['void com.android.server.ConnectivityService.updateTcpBufferSizes(NetworkAgentInfo)'],10,1,"[(2083, 2092, 10)]"
139,services/core/java/com/android/server/wm/ActivityTaskManagerService.java,[],1,1,"[(353, 353, 1)]"
