,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
0,9d930f996e6d31820e201f4eb7dd7bf11127f932,services/tests/uiservicestests/src/com/android/server/notification/NotificationManagerServiceTest.java,"['void com.android.server.notification.NotificationManagerServiceTest.testNotificationBubbles_flagAutoExpandForeground_succeeds_foreground()', 'void com.android.server.notification.NotificationManagerServiceTest.testNotificationBubbles_bubbleChildrenStay_whenGroupSummaryDismissed()', 'void com.android.server.notification.NotificationManagerServiceTest.testNotificationBubbles_bubbleChildrenStay_whenGroupSummaryClicked()', 'void com.android.server.notification.NotificationManagerServiceTest.testNotificationBubbles_flagAutoExpandForeground_fails_notForeground()']",155,1,"[(5249, 5403, 155)]"
1,a5464e4c3f2a28630d99d1d7996bd3c41ec2877f,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBar.java,"['boolean com.android.systemui.statusbar.phone.StatusBar.isAutomotive()', 'boolean com.android.systemui.statusbar.phone.StatusBar.updateIsKeyguard()']",6,1,"[(3269, 3274, 6)]"
2,10e300d48682ac576ead42e0f216976fa8847033,packages/SystemUI/src/com/android/systemui/statusbar/phone/NavigationModeController.java,[],0,1,"[(0, 0, 0)]"
3,05fa7e2c3e169e955e815187e15fd141fe9aa95b,services/core/java/com/android/server/policy/PhoneWindowManager.java,[],3,1,"[(698, 700, 3)]"
4,09f6943068695f12f8f624668cbff7572dfa6053,core/java/com/android/internal/util/ScreenshotHelper.java,"['void com.android.internal.util.ScreenshotHelper.takeScreenshot(int,boolean,boolean,long,Handler,Consumer<Uri>)']",13,2,"[(3, 6, 4), (103, 111, 9)]"
5,3a6c4af35c60db2b635f8f4c414b6c921a80a293,packages/SystemUI/src/com/android/systemui/screenshot/GlobalScreenshot.java,['void com.android.systemui.screenshot.GlobalScreenshot.<init>(Context)'],2,1,"[(695, 696, 2)]"
6,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,services/core/java/com/android/server/policy/keyguard/KeyguardStateMonitor.java,"['void com.android.server.policy.keyguard.KeyguardStateMonitor.<init>(Context,IKeyguardService,StateCallback)', 'void com.android.server.policy.keyguard.KeyguardStateMonitor.onShowingStateChanged(boolean)']",26,3,"[(59, 61, 3), (66, 66, 1), (100, 121, 22)]"
7,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/appops/AppOpsControllerImpl.java,"['boolean com.android.systemui.appops.AppOpsControllerImpl.isUserSensitive(int,int,String)', 'boolean com.android.systemui.appops.AppOpsControllerImpl.isUserVisible(int,int,String)', 'boolean com.android.systemui.appops.AppOpsControllerImpl.isUserVisible(AppOpItem)', 'void com.android.systemui.appops.AppOpsControllerImpl.notifySuscribers(int,int,String,boolean)']",55,2,"[(232, 284, 53), (369, 370, 2)]"
8,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/statusbar/NotificationShelf.java,"['int com.android.systemui.statusbar.NotificationShelf.updateNotificationClipHeight(ActivatableNotificationView,float,int)', 'void com.android.systemui.statusbar.NotificationShelf.setIconTransformationAmount(ExpandableNotificationRow,float,float,boolean,boolean)']",10,2,"[(497, 502, 6), (741, 744, 4)]"
9,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/classifier/FalsingManagerProxy.java,['void com.android.systemui.classifier.FalsingManagerProxy.setupFalsingManager(Context)'],3,1,"[(103, 105, 3)]"
10,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/doze/DozeSensors.java,['void com.android.systemui.doze.DozeSensors.ProxSensor.<init>(AlwaysOnDisplayPolicy)'],10,2,"[(291, 292, 2), (301, 308, 8)]"
11,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,services/core/java/com/android/server/pm/Settings.java,"['boolean com.android.server.pm.Settings.removeIntentFilterVerificationLPw(String,int)']",1,1,"[(1254, 1254, 1)]"
12,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,services/core/java/com/android/server/UiModeManagerService.java,[],18,1,"[(516, 533, 18)]"
13,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/statusbar/notification/collection/NotificationEntry.java,[],5,2,"[(171, 175, 5), (0, 0, 0)]"
14,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,services/core/java/com/android/server/pm/PackageManagerService.java,"['void com.android.server.pm.PackageManagerService.verifyIntentFiltersIfNeeded(int,int,boolean,Package)', 'void com.android.server.pm.PackageManagerService.verifyIntentFiltersIfNeeded(int,int,boolean,Package)', 'void com.android.server.pm.PackageManagerService.verifyIntentFiltersIfNeeded(int,int,boolean,Package)', 'void com.android.server.pm.PackageManagerService.verifyIntentFiltersIfNeeded(int,int,boolean,Package)', 'void com.android.server.pm.PackageManagerService.verifyIntentFiltersIfNeeded(int,int,boolean,Package)', 'void com.android.server.pm.PackageManagerService.verifyIntentFiltersIfNeeded(int,int,boolean,Package)', 'void com.android.server.pm.PackageManagerService.verifyIntentFiltersIfNeeded(int,int,boolean,Package)', 'void com.android.server.pm.PackageManagerService.verifyIntentFiltersIfNeeded(int,int,boolean,Package)']",23,9,"[(18194, 18203, 10), (0, 0, 0), (18214, 18214, 1), (18220, 18220, 1), (18225, 18227, 3), (18234, 18237, 4), (18243, 18243, 1), (18255, 18256, 2), (18272, 18272, 1)]"
15,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/keyguard/KeyguardSliceProvider.java,"['boolean com.android.systemui.keyguard.KeyguardSliceProvider.needsMediaLocked()', 'void com.android.systemui.keyguard.KeyguardSliceProvider.onMetadataOrStateChanged(MediaMetadata,int)']",11,3,"[(56, 57, 2), (229, 235, 7), (461, 462, 2)]"
16,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/doze/DozeFactory.java,"['DozeMachine com.android.systemui.doze.DozeFactory.assembleMachine(DozeService,FalsingManager)']",4,2,"[(32, 33, 2), (79, 80, 2)]"
17,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/glwallpaper/ImageRevealHelper.java,['void com.android.systemui.glwallpaper.ImageRevealHelper.<init>(RevealStateListener)'],3,3,"[(75, 77, 3), (0, 0, 0), (0, 0, 0)]"
18,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/classifier/brightline/ProximityClassifier.java,[],0,1,"[(0, 0, 0)]"
19,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,services/core/java/com/android/server/pm/PackageInstallerSession.java,"['void com.android.server.pm.PackageInstallerSession.dispatchSessionFinished(int,String,Bundle)']",3,1,"[(2191, 2193, 3)]"
20,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,services/core/java/com/android/server/wallpaper/WallpaperManagerService.java,['void com.android.server.wallpaper.WallpaperManagerService.generateCrop(WallpaperData)'],18,1,"[(718, 735, 18)]"
21,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/tests/src/com/android/systemui/keyguard/KeyguardSliceProviderTest.java,[],2,1,"[(52, 53, 2)]"
22,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelView.java,[],1,1,"[(42, 42, 1)]"
23,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBar.java,['void com.android.systemui.statusbar.phone.StatusBar.startKeyguard()'],1,1,"[(1365, 1365, 1)]"
24,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/ImageWallpaper.java,"['void com.android.systemui.ImageWallpaper.GLEngine.onAmbientModeChanged(boolean,long)']",10,2,"[(54, 54, 1), (159, 167, 9)]"
25,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,services/core/java/com/android/server/appop/AppOpsService.java,"['int com.android.server.appop.AppOpsService.checkOperationUnchecked(int,int,String,boolean)', 'boolean com.android.server.appop.AppOpsService.isOpRestrictedLocked(int,int,String,boolean)']",16,2,"[(1850, 1863, 14), (2780, 2781, 2)]"
26,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/tests/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayoutTest.java,['void com.android.systemui.statusbar.notification.stack.NotificationStackScrollLayoutTest.setUp()'],4,2,"[(123, 123, 1), (144, 146, 3)]"
27,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayout.java,"['void com.android.systemui.statusbar.notification.stack.NotificationStackScrollLayout.<init>(Context,AttributeSet,boolean,NotificationRoundnessManager,DynamicPrivacyController,ConfigurationController,ActivityStarter,StatusBarStateController,HeadsUpManagerPhone,KeyguardBypassController,FalsingManager)', 'void com.android.systemui.statusbar.notification.stack.NotificationStackScrollLayout.updateBackgroundBounds()']",5,3,"[(573, 573, 1), (417, 417, 1), (2587, 2589, 3)]"
28,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/tests/src/com/android/systemui/appops/AppOpsControllerTest.java,['void com.android.systemui.appops.AppOpsControllerTest.setUp()'],13,1,"[(84, 96, 13)]"
29,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/statusbar/phone/BiometricUnlockController.java,[],0,1,"[(0, 0, 0)]"
30,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/glwallpaper/ImageWallpaperRenderer.java,"['void com.android.systemui.glwallpaper.ImageWallpaperRenderer.<init>(Context,SurfaceProxy)', 'void com.android.systemui.glwallpaper.ImageWallpaperRenderer.onRevealStart(boolean)', 'void com.android.systemui.glwallpaper.ImageWallpaperRenderer.onRevealEnd()']",9,3,"[(72, 72, 1), (196, 199, 4), (214, 217, 4)]"
31,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/classifier/brightline/BrightLineFalsingManager.java,"['void com.android.systemui.classifier.brightline.BrightLineFalsingManager.sessionStart()', 'void com.android.systemui.classifier.brightline.BrightLineFalsingManager.onSucccessfulUnlock()', 'void com.android.systemui.classifier.brightline.BrightLineFalsingManager.cleanup()']",11,4,"[(50, 54, 5), (107, 107, 1), (170, 173, 4), (333, 333, 1)]"
32,96e5fca97c43ea282d5ad4b7c6fad40acd91586d,packages/SystemUI/src/com/android/systemui/statusbar/notification/stack/StackScrollAlgorithm.java,"['void com.android.systemui.statusbar.notification.stack.StackScrollAlgorithm.updatePulsingStates(StackScrollAlgorithmState,AmbientState)']",1,1,"[(502, 502, 1)]"
33,f67897bc05520f743974fc397aa96e4049a057b3,services/core/java/com/android/server/policy/keyguard/KeyguardStateMonitor.java,"['void com.android.server.policy.keyguard.KeyguardStateMonitor.<init>(Context,IKeyguardService,StateCallback)', 'void com.android.server.policy.keyguard.KeyguardStateMonitor.onShowingStateChanged(boolean)']",26,3,"[(59, 61, 3), (66, 66, 1), (100, 121, 22)]"
34,f67897bc05520f743974fc397aa96e4049a057b3,services/core/java/com/android/server/input/InputManagerService.java,"['void com.android.server.input.InputManagerService.start()', 'void com.android.server.input.InputManagerService.start()', 'void com.android.server.input.InputManagerService.start()']",3,3,"[(352, 352, 1), (360, 360, 1), (360, 360, 1)]"
35,f67897bc05520f743974fc397aa96e4049a057b3,packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarTransitions.java,['void com.android.systemui.statusbar.phone.PhoneStatusBarTransitions.init()'],8,2,"[(35, 35, 1), (43, 49, 7)]"
36,f67897bc05520f743974fc397aa96e4049a057b3,packages/SystemUI/src/com/android/systemui/appops/AppOpsControllerImpl.java,"['boolean com.android.systemui.appops.AppOpsControllerImpl.isUserVisible(int,int,String)', 'boolean com.android.systemui.appops.AppOpsControllerImpl.isUserVisible(AppOpItem)', 'boolean com.android.systemui.appops.AppOpsControllerImpl.isUserSensitive(int,int,String)']",53,1,"[(225, 277, 53)]"
37,f67897bc05520f743974fc397aa96e4049a057b3,packages/SystemUI/src/com/android/systemui/statusbar/policy/Clock.java,[],2,1,"[(69, 70, 2)]"
38,f67897bc05520f743974fc397aa96e4049a057b3,packages/SystemUI/src/com/android/systemui/doze/DozeScreenBrightness.java,['void com.android.systemui.doze.DozeScreenBrightness.updateBrightnessAndReady(boolean)'],9,1,"[(158, 166, 9)]"
39,f67897bc05520f743974fc397aa96e4049a057b3,packages/SystemUI/tests/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayoutTest.java,['void com.android.systemui.statusbar.notification.stack.NotificationStackScrollLayoutTest.setUp()'],3,1,"[(144, 146, 3)]"
40,f67897bc05520f743974fc397aa96e4049a057b3,services/core/java/com/android/server/NetworkManagementService.java,[],1,1,"[(61, 61, 1)]"
41,f67897bc05520f743974fc397aa96e4049a057b3,services/core/java/com/android/server/BluetoothManagerService.java,['void com.android.server.BluetoothManagerService.onAirplaneModeChanged()'],7,1,"[(264, 270, 7)]"
42,721f892272f7a01a7b3d4db7cefd8943acbb8a01,services/core/java/com/android/server/policy/keyguard/KeyguardStateMonitor.java,['void com.android.server.policy.keyguard.KeyguardStateMonitor.onShowingStateChanged(boolean)'],44,2,"[(61, 65, 5), (107, 145, 39)]"
43,619b6be348da0cfbb30a2d5a472a22cb462f2d6e,packages/SystemUI/tests/src/com/android/systemui/appops/AppOpsControllerTest.java,['void com.android.systemui.appops.AppOpsControllerTest.setUp()'],13,1,"[(76, 88, 13)]"
44,619b6be348da0cfbb30a2d5a472a22cb462f2d6e,packages/SystemUI/src/com/android/systemui/appops/AppOpsControllerImpl.java,"['void com.android.systemui.appops.AppOpsControllerImpl.notifySuscribers(int,int,String,boolean)']",2,1,"[(328, 329, 2)]"
45,8943bbe92bfbc3ead44f63a6a3c145a135548b7c,packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java,['void com.android.systemui.statusbar.phone.PhoneStatusBarPolicy.updateBluetooth()'],26,1,"[(406, 431, 26)]"
46,8943bbe92bfbc3ead44f63a6a3c145a135548b7c,telephony/java/android/telephony/ServiceState.java,['String android.telephony.ServiceState.rilRadioTechnologyToString(int)'],1,1,"[(990, 990, 1)]"
47,8943bbe92bfbc3ead44f63a6a3c145a135548b7c,core/java/android/provider/Settings.java,[],8,3,"[(9003, 9008, 6), (9153, 9153, 1), (9348, 9348, 1)]"
48,8943bbe92bfbc3ead44f63a6a3c145a135548b7c,services/core/java/com/android/server/pm/UserManagerService.java,"['UserInfo com.android.server.pm.UserManagerService.createUserInternalUnchecked(String,int,int,String[])']",1,1,"[(2765, 2765, 1)]"
49,8943bbe92bfbc3ead44f63a6a3c145a135548b7c,services/core/java/com/android/server/policy/PhoneWindowManager.java,[],1,1,"[(411, 411, 1)]"
50,8943bbe92bfbc3ead44f63a6a3c145a135548b7c,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBar.java,['void com.android.systemui.statusbar.phone.StatusBar.start()'],6,1,"[(704, 709, 6)]"
51,8943bbe92bfbc3ead44f63a6a3c145a135548b7c,packages/SystemUI/src/com/android/systemui/screenshot/GlobalScreenshot.java,"['void com.android.systemui.screenshot.SaveImageInBackgroundTask.<init>(Context,SaveImageInBackgroundData,NotificationManager)', 'void com.android.systemui.screenshot.GlobalScreenshot.takeScreenshot(Runnable,boolean,boolean)']",30,7,"[(36, 36, 1), (49, 50, 2), (71, 71, 1), (0, 0, 0), (144, 144, 1), (181, 199, 19), (667, 672, 6)]"
52,8943bbe92bfbc3ead44f63a6a3c145a135548b7c,tests/net/java/android/net/netlink/InetDiagSocketTest.java,[],0,1,"[(0, 0, 0)]"
