,Conf_details,Conf_methods,Loc,Block,Loc_details
150,wifi/java/com/android/server/wifi/BaseWifiService.java,"['String com.android.server.wifi.BaseWifiService.getCapabilities(String)', 'int com.android.server.wifi.BaseWifiService.getSoftApWifiGeneration()', 'boolean com.android.server.wifi.BaseWifiService.isWifiCoverageExtendFeatureEnabled()', 'int com.android.server.wifi.BaseWifiService.dppListen(String,int,boolean,boolean)', 'int com.android.server.wifi.BaseWifiService.dppBootstrapRemove(int)', 'int com.android.server.wifi.BaseWifiService.dppConfiguratorRemove(int)', 'String com.android.server.wifi.BaseWifiService.dppConfiguratorGetKey(int)', 'String com.android.server.wifi.BaseWifiService.dppGetUri(int)', 'int com.android.server.wifi.BaseWifiService.dppConfiguratorAdd(String,String,int)', 'int com.android.server.wifi.BaseWifiService.dppBootstrapGenerate(WifiDppConfig)', 'boolean com.android.server.wifi.BaseWifiService.isExtendingWifi()', 'int com.android.server.wifi.BaseWifiService.dppStartAuth(WifiDppConfig)', 'int com.android.server.wifi.BaseWifiService.dppAddBootstrapQrCode(String)', 'void com.android.server.wifi.BaseWifiService.dppStopListen()']",66,1,"[(628, 693, 66)]"
151,services/core/java/com/android/server/wm/ActivityStack.java,"['boolean com.android.server.wm.ActivityStack.resumeTopActivityInnerLocked(ActivityRecord,ActivityOptions)']",3,1,"[(2103, 2105, 3)]"
152,services/core/java/com/android/server/am/CachedAppOptimizer.java,[],1,1,"[(90, 90, 1)]"
153,services/core/java/com/android/server/am/ProcessList.java,[],2,1,"[(103, 104, 2)]"
154,services/core/java/com/android/server/wm/ActivityRecord.java,"['void com.android.server.wm.ActivityRecord.<init>(ActivityTaskManagerService,WindowProcessController,int,int,String,Intent,String,ActivityInfo,Configuration,ActivityRecord,String,int,boolean,boolean,ActivityStackSupervisor,ActivityOptions,ActivityRecord)', 'int com.android.server.wm.ActivityRecord.getLockTaskLaunchMode(ActivityInfo,ActivityOptions)', 'int com.android.server.wm.ActivityRecord.getLockTaskLaunchMode(ActivityInfo,ActivityOptions)']",21,3,"[(500, 501, 2), (1644, 1660, 17), (1665, 1666, 2)]"
155,services/core/java/com/android/server/am/ActivityManagerService.java,"['boolean com.android.server.am.ActivityManagerService.PidMap.removeIfNoThread(ProcessRecord)', 'void com.android.server.am.ActivityManagerService.PidMap.remove(ProcessRecord)', 'void com.android.server.am.ActivityManagerService.PidMap.put(ProcessRecord)']",60,1,"[(779, 838, 60)]"
156,packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java,[],7,2,"[(36, 39, 4), (54, 56, 3)]"
157,telephony/java/com/android/internal/telephony/TelephonyIntents.java,[],37,1,"[(357, 393, 37)]"
158,telecomm/java/android/telecom/Conference.java,['void android.telecom.Conference.onAddParticipant(String)'],6,1,"[(311, 316, 6)]"
159,packages/Tethering/common/TetheringLib/src/android/net/TetheringManager.java,[],15,1,"[(122, 136, 15)]"
