,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
0,c124bc9f956754d80b1cf5e3da842c19d9088bd9,services/core/java/com/android/server/policy/PhoneWindowManager.java,[],2,1,"[(899, 900, 2)]"
1,c124bc9f956754d80b1cf5e3da842c19d9088bd9,services/core/java/com/android/server/notification/NotificationManagerService.java,['void com.android.server.notification.NotificationManagerService.setHints(int)'],5,1,"[(1284, 1288, 5)]"
2,c124bc9f956754d80b1cf5e3da842c19d9088bd9,services/tests/uiservicestests/src/com/android/server/notification/BuzzBeepBlinkTest.java,['void com.android.server.notification.BuzzBeepBlinkTest.setUp()'],3,1,"[(155, 157, 3)]"
3,31664aa5defc5bc091dffc8201ef48e540aa21c7,services/core/java/com/android/server/fingerprint/AuthenticationClient.java,[],4,2,"[(20, 20, 1), (37, 39, 3)]"
4,5df8608656b363f13049855431e2618dd153edaf,services/core/java/com/android/server/policy/keyguard/KeyguardStateMonitor.java,['void com.android.server.policy.keyguard.KeyguardStateMonitor.onShowingStateChanged(boolean)'],34,2,"[(61, 65, 5), (107, 135, 29)]"
5,6e7d07c3e9ed000778dede983193c2e8c5691c4e,tests/net/java/com/android/server/ConnectivityServiceTest.java,['void com.android.server.ConnectivityServiceTest.testPrivateDnsSettingsChange()'],2,1,"[(4075, 4076, 2)]"
6,71911afa2c85bbbf9fa9ee1b4dd616b5681c6562,core/java/android/text/TextLine.java,[],0,3,"[(0, 0, 0), (0, 0, 0), (0, 0, 0)]"
7,c84634b9b4278035e2c5b3ef38376ad4eea0c019,services/core/java/com/android/server/AppOpsService.java,[],5,2,"[(28, 28, 1), (184, 187, 4)]"
8,ab78fedc0100a93b5e9590b0fdc5cfa48386184e,services/core/java/com/android/server/am/PendingIntentRecord.java,"['int com.android.server.am.PendingIntentRecord.sendInner(int,Intent,String,IBinder,IIntentReceiver,String,IBinder,String,int,int,int,Bundle)']",4,1,"[(347, 350, 4)]"
9,ab78fedc0100a93b5e9590b0fdc5cfa48386184e,services/core/java/com/android/server/am/ActivityManagerService.java,"['int com.android.server.am.ActivityManagerService.startActivities(IApplicationThread,String,Intent[],String[],IBinder,Bundle,int)']",3,1,"[(5690, 5692, 3)]"
10,ab78fedc0100a93b5e9590b0fdc5cfa48386184e,services/core/java/com/android/server/am/ActivityStarter.java,['void com.android.server.am.ActivityStarter.Request.reset()'],2,1,"[(373, 374, 2)]"
11,ab78fedc0100a93b5e9590b0fdc5cfa48386184e,services/core/java/com/android/server/am/ActivityStartController.java,"['int com.android.server.am.ActivityStartController.startActivitiesInPackage(int,String,Intent[],String[],IBinder,SafeActivityOptions,int,boolean,PendingIntentRecord)', 'int com.android.server.am.ActivityStartController.startActivities(IApplicationThread,int,String,Intent[],String[],IBinder,SafeActivityOptions,int,String,PendingIntentRecord)', 'int com.android.server.am.ActivityStartController.startActivitiesInPackage(int,String,Intent[],String[],IBinder,SafeActivityOptions,int,boolean,PendingIntentRecord)']",8,2,"[(288, 288, 1), (296, 302, 7)]"
12,63d76f28fe78b240b481a690e14966fb3838aa3f,location/java/com/android/internal/location/GpsNetInitiatedHandler.java,['boolean com.android.internal.location.GpsNetInitiatedHandler.getInEmergency()'],4,2,"[(124, 125, 2), (248, 249, 2)]"
13,63d76f28fe78b240b481a690e14966fb3838aa3f,packages/SystemUI/src/com/android/systemui/statusbar/policy/Clock.java,[],2,1,"[(74, 75, 2)]"
14,63d76f28fe78b240b481a690e14966fb3838aa3f,services/core/java/com/android/server/display/DisplayPowerController.java,[],7,1,"[(19, 25, 7)]"
15,12930acc5076e1acff0744b8d225bb2d2173f1b5,packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsDialog.java,['ActionsDialog com.android.systemui.globalactions.GlobalActionsDialog.createDialog()'],7,4,"[(35, 36, 2), (60, 61, 2), (133, 133, 1), (373, 374, 2)]"
16,12930acc5076e1acff0744b8d225bb2d2173f1b5,packages/SystemUI/src/com/android/systemui/statusbar/policy/HotspotControllerImpl.java,['void com.android.systemui.statusbar.policy.HotspotControllerImpl.updateWifiStateListeners(boolean)'],4,1,"[(115, 118, 4)]"
17,12930acc5076e1acff0744b8d225bb2d2173f1b5,telephony/java/android/provider/Telephony.java,[],0,1,"[(0, 0, 0)]"
18,12930acc5076e1acff0744b8d225bb2d2173f1b5,services/core/java/com/android/server/am/ActivityManagerService.java,"['void com.android.server.am.ActivityManagerService.handleAppDiedLocked(ProcessRecord,boolean,boolean)']",12,1,"[(6014, 6025, 12)]"
19,12930acc5076e1acff0744b8d225bb2d2173f1b5,packages/SystemUI/src/com/android/systemui/statusbar/policy/Clock.java,[],1,1,"[(67, 67, 1)]"
20,12930acc5076e1acff0744b8d225bb2d2173f1b5,packages/SettingsLib/src/com/android/settingslib/dream/DreamBackend.java,['void com.android.settingslib.dream.DreamBackend.launchSettings(DreamInfo)'],4,1,"[(263, 266, 4)]"
21,12930acc5076e1acff0744b8d225bb2d2173f1b5,packages/SystemUI/src/com/android/keyguard/KeyguardPatternView.java,['void com.android.keyguard.KeyguardPatternView.onFinishInflate()'],7,1,"[(149, 155, 7)]"
22,8f7726cc447f76dd163e9813f1aef8de3907141e,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBar.java,"['void com.android.systemui.statusbar.phone.StatusBar.updateMediaMetaData(boolean,boolean)', 'void com.android.systemui.statusbar.phone.StatusBar.updateTheme()']",33,2,"[(1729, 1743, 15), (4083, 4100, 18)]"
23,8f7726cc447f76dd163e9813f1aef8de3907141e,services/core/java/com/android/server/am/ActivityStack.java,[],0,1,"[(0, 0, 0)]"
24,8f7726cc447f76dd163e9813f1aef8de3907141e,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarWindowView.java,[],1,1,"[(41, 41, 1)]"
25,8f7726cc447f76dd163e9813f1aef8de3907141e,services/core/java/com/android/server/notification/NotificationManagerService.java,['void com.android.server.notification.NotificationManagerService.buzzBeepBlinkLocked(NotificationRecord)'],2,1,"[(4847, 4848, 2)]"
