,Merge,Conf_files,Conf_javas,Conf_details,Loc,Loc_details
0,acb5b7bc5892f21ff74adb2829705008ac4eb86c,7,5,"['packages/SystemUI/src/com/android/systemui/ScreenDecorations.java', 'packages/SystemUI/src/com/android/systemui/qs/QuickStatusBarHeader.java', 'packages/SystemUI/tests/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayoutTest.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java']",44,"[21, 18, 3, 1, 1]"
1,b7ff81acc796b2957f68c9412cef71b9b47e67de,11,9,"['services/core/java/com/android/server/display/AutomaticBrightnessController.java', 'telephony/java/android/telephony/ServiceState.java', 'packages/SystemUI/src/com/android/systemui/screenshot/GlobalScreenshot.java', 'services/core/java/com/android/server/notification/NotificationManagerService.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/ScrimController.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBar.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java', 'packages/SystemUI/src/com/android/systemui/statusbar/KeyguardIndicationController.java', 'packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsDialog.java']",120,"[21, 1, 16, 41, 4, 1, 5, 1, 30]"
2,160034a542fd4cfe183b93b3a4888dc7c4f68b65,28,25,"['packages/SystemUI/src/com/android/systemui/classifier/brightline/BrightLineFalsingManager.java', 'packages/SystemUI/src/com/android/systemui/statusbar/notification/stack/StackScrollAlgorithm.java', 'packages/SystemUI/src/com/android/systemui/doze/DozeFactory.java', 'packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/LockIcon.java', 'packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitorCallback.java', 'packages/SystemUI/src/com/android/systemui/doze/DozeSensors.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBar.java', 'packages/SystemUI/src/com/android/systemui/keyguard/KeyguardSliceProvider.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/NavigationModeController.java', 'packages/SystemUI/tests/src/com/android/systemui/keyguard/KeyguardSliceProviderTest.java', 'services/core/java/com/android/server/locksettings/LockSettingsService.java', 'packages/SystemUI/src/com/android/systemui/classifier/FalsingManagerProxy.java', 'packages/SystemUI/src/com/android/systemui/statusbar/notification/collection/NotificationEntry.java', 'packages/SystemUI/src/com/android/systemui/statusbar/NotificationShelf.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/EdgeBackGestureHandler.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/BiometricUnlockController.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationIconContainer.java', 'packages/SystemUI/src/com/android/systemui/statusbar/notification/row/wrapper/NotificationMediaTemplateViewWrapper.java', 'telephony/java/android/telephony/DisconnectCause.java', 'packages/SystemUI/src/com/android/systemui/qs/QSFragment.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelView.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/DozeParameters.java', 'packages/SystemUI/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayout.java']",136,"[11, 1, 2, 7, 2, 4, 2, 3, 9, 1, 2, 1, 1, 5, 10, 1, 0, 2, 9, 25, 5, 16, 5, 5, 7]"
