,Merge,Conf_files,Conf_javas,Conf_details,Loc,Loc_details
27,c77ad764fad2451538f140b31601e7b8c6c59fa2,8,4,"['packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java', 'core/java/android/bluetooth/BluetoothDevice.java', 'core/java/android/view/InputEventReceiver.java', 'services/core/java/com/android/server/location/GnssNetworkConnectivityHandler.java']",15,"[8, 5, 0, 2]"
28,6f47ceafbe6febe54aa5c376baed3415cdf848ad,6,6,"['packages/Tethering/common/TetheringLib/src/android/net/TetheringManager.java', 'core/java/android/content/pm/ApplicationInfo.java', 'services/core/java/com/android/server/am/ProcessList.java', 'services/core/java/com/android/server/wm/ScreenRotationAnimation.java', 'packages/Tethering/src/com/android/server/connectivity/tethering/Tethering.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java']",51,"[43, 3, 0, 1, 1, 3]"
29,6aa497092f6337fbafb5b9858a3ec8f28c9d3caf,5,3,"['services/core/java/com/android/server/pm/PackageManagerService.java', 'core/java/android/os/Process.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/A2dpProfile.java']",17,"[2, 11, 4]"
30,a33382db0bb0bc29bab84f1e5ee36d682bea593e,11,8,"['core/java/android/bluetooth/BluetoothAdapter.java', 'services/core/java/com/android/server/ConnectivityService.java', 'core/java/android/view/InsetsController.java', 'core/java/android/content/pm/ApplicationInfo.java', 'core/java/android/view/InsetsSourceConsumer.java', 'services/core/java/com/android/server/BluetoothManagerService.java', 'wifi/java/android/net/wifi/SoftApConfiguration.java', 'core/java/android/view/InsetsSourceControl.java']",94,"[6, 0, 42, 4, 1, 36, 2, 3]"
31,b6292e3e1ba3616eac1032737a91925391d94b92,7,5,"['services/core/java/com/android/server/Watchdog.java', 'packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java', 'services/core/java/com/android/server/statusbar/StatusBarManagerService.java', 'services/core/java/com/android/server/am/ActivityManagerConstants.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/A2dpProfile.java']",28,"[7, 1, 0, 0, 20]"
32,8faa0d981413f18b2468dde1b1fe71e248df0df1,20,15,"['wifi/java/android/net/wifi/WifiEnterpriseConfig.java', 'services/core/java/com/android/server/ConnectivityService.java', 'services/core/java/com/android/server/Watchdog.java', 'services/core/java/com/android/server/wm/ActivityStack.java', 'services/core/java/com/android/server/wm/ActivityRecord.java', 'services/core/java/com/android/server/am/ProcessRecord.java', 'packages/SystemUI/src/com/android/systemui/qs/QSPanel.java', 'packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java', 'core/java/android/view/SurfaceControl.java', 'services/core/java/com/android/server/connectivity/NetworkAgentInfo.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java', 'wifi/java/android/net/wifi/WifiConfiguration.java', 'wifi/java/android/net/wifi/ScanResult.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/WifiSignalController.java']",62,"[0, 10, 8, 1, 0, 1, 0, 0, 0, 0, 6, 4, 4, 26, 2]"
33,3d2fc559e13b7293212955f1858d443f4fe8234e,17,14,"['services/core/java/com/android/server/display/LocalDisplayAdapter.java', 'services/core/java/com/android/server/ConnectivityService.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkControllerImpl.java', 'telecomm/java/android/telecom/Connection.java', 'packages/SystemUI/src/com/android/systemui/qs/tiles/HotspotTile.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelViewController.java', 'services/core/java/com/android/server/connectivity/NetworkAgentInfo.java', 'telecomm/java/android/telecom/ConnectionService.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', 'telecomm/java/android/telecom/Call.java', 'wifi/java/android/net/wifi/SoftApConfiguration.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'services/core/java/com/android/server/am/ActivityManagerConstants.java']",128,"[4, 11, 0, 23, 0, 1, 1, 2, 40, 11, 24, 8, 1, 2]"
34,af02bd5317cc0cced0a7646d5bbf407a181dda9c,33,26,"['services/core/java/com/android/server/ConnectivityService.java', 'services/core/java/com/android/server/audio/AudioService.java', 'services/core/java/com/android/server/display/WifiDisplayController.java', 'packages/SystemUI/src/com/android/systemui/qs/QSCarrierGroupController.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarSignalPolicy.java', 'packages/SystemUI/tests/src/com/android/systemui/qs/QSCarrierGroupControllerTest.java', 'packages/SystemUI/tests/src/com/android/systemui/statusbar/policy/CallbackHandlerTest.java', 'telecomm/java/android/telecom/Call.java', 'location/java/android/location/LocationManager.java', 'core/java/com/android/ims/internal/uce/common/CapInfo.java', 'packages/SystemUI/src/com/android/systemui/qs/tiles/CellularTile.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/CallbackHandler.java', 'telecomm/java/android/telecom/Connection.java', 'services/core/java/com/android/server/wm/ActivityRecord.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', 'services/core/java/com/android/server/wm/WindowManagerService.java', 'packages/SystemUI/src/com/android/systemui/qs/QSPanel.java', 'packages/SystemUI/tests/src/com/android/systemui/statusbar/policy/NetworkControllerBaseTest.java', 'core/java/android/bluetooth/BluetoothAdapter.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkController.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/LocalBluetoothProfileManager.java', 'services/core/java/com/android/server/connectivity/NetworkAgentInfo.java', 'telecomm/java/android/telecom/ConnectionService.java', 'wifi/java/android/net/wifi/WifiInfo.java', 'services/core/java/com/android/server/am/ActivityManagerConstants.java']",126,"[39, 3, 2, 4, 5, 1, 4, 9, 8, 3, 4, 9, 9, 1, 3, 1, 0, 4, 1, 6, 1, 1, 1, 5, 2]"
35,d28a4f6b38dbab44128b4319f665dd65c3e4ec2c,26,17,"['services/core/java/com/android/server/ConnectivityService.java', 'core/java/android/app/ActivityManagerInternal.java', 'core/java/android/os/Process.java', 'packages/Tethering/src/android/net/ip/IpServer.java', 'wifi/java/com/android/server/wifi/BaseWifiService.java', 'services/core/java/com/android/server/wm/ActivityStack.java', 'services/core/java/com/android/server/am/CachedAppOptimizer.java', 'services/core/java/com/android/server/am/ProcessList.java', 'services/core/java/com/android/server/wm/ActivityRecord.java', 'services/core/java/com/android/server/am/ActivityManagerService.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', 'telephony/java/com/android/internal/telephony/TelephonyIntents.java', 'telecomm/java/android/telecom/Conference.java', 'packages/Tethering/common/TetheringLib/src/android/net/TetheringManager.java', 'core/java/android/bluetooth/BluetoothAdapter.java', 'telecomm/java/android/telecom/ConnectionService.java', 'services/core/java/com/android/server/am/ProcessRecord.java']",235,"[157, 15, 9, 6, 4, 1, 2, 0, 2, 0, 1, 2, 27, 2, 2, 4, 1]"
36,71998c3d8b36220df1be12fe6e1ba7eda81cde41,45,37,"['packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java', 'packages/Tethering/src/android/net/ip/IpServer.java', 'services/core/java/com/android/server/location/GnssLocationProvider.java', 'core/java/android/hardware/camera2/CameraDevice.java', 'core/java/android/accounts/AccountManager.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'wifi/java/com/android/server/wifi/BaseWifiService.java', 'core/java/com/android/ims/internal/uce/common/CapInfo.java', 'wifi/java/android/net/wifi/wificond/WifiCondManager.java', 'services/core/java/com/android/server/wm/ActivityStack.java', 'packages/SettingsProvider/src/com/android/providers/settings/DatabaseHelper.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java', 'services/core/java/com/android/server/accounts/AccountManagerService.java', 'services/core/java/com/android/server/locksettings/LockSettingsService.java', 'packages/Tethering/src/com/android/server/connectivity/tethering/TetheringConfiguration.java', 'telephony/java/android/telephony/DisconnectCause.java', 'wifi/java/android/net/wifi/SoftApConfiguration.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/WifiSignalController.java', 'services/core/java/com/android/server/Watchdog.java', 'telephony/java/android/telephony/PhoneNumberUtils.java', 'services/core/java/com/android/server/wm/ActivityRecord.java', 'services/core/java/com/android/server/BluetoothManagerService.java', 'core/java/android/provider/Settings.java', 'services/core/java/com/android/server/am/ActivityManagerService.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelView.java', 'wifi/java/android/net/wifi/WifiManager.java', 'telephony/java/android/telephony/SmsManager.java', 'core/java/android/bluetooth/BluetoothAdapter.java', 'core/java/android/util/TrustedTime.java', 'core/java/android/util/NtpTrustedTime.java', 'packages/Tethering/src/com/android/server/connectivity/tethering/Tethering.java', 'packages/SettingsLib/src/com/android/settingslib/wifi/AccessPoint.java', 'services/core/java/com/android/server/am/ProcessRecord.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkControllerImpl.java', 'core/java/android/view/InputEventReceiver.java', 'services/core/java/com/android/server/am/ActivityManagerConstants.java']",495,"[2, 10, 2, 1, 7, 1, 5, 0, 58, 1, 1, 1, 0, 1, 6, 7, 243, 2, 11, 1, 3, 20, 6, 5, 15, 3, 23, 4, 5, 1, 16, 17, 0, 0, 1, 8, 8]"
