,Merge,Conf_files,Conf_javas,Conf_details,Loc,Block,Loc_details
20,89ca8eb6845aeb5da5c69c25c3fb5c31e0d827d7,1,1,['telephony/java/android/telephony/TelephonyManager.java'],6,1,[6]
21,94ad7689180978108cde82c6ea9557f0490fb2e1,1,0,[],0,0,[]
22,56b8036d49b44d68c526695fc307d05fe299f168,3,0,[],0,0,[]
23,c612890eae98c63cdd4c7a119c35c44257303230,1,0,[],0,0,[]
24,4986b8091f9beefea4189a5884e7a9edd7f53034,1,1,['packages/SystemUI/src/com/android/systemui/CornerHandleView.java'],2,1,[2]
25,dfd2f7fed77160af2c57edfa20f1768b42aaa8da,4,4,"['services/core/java/com/android/server/audio/AudioDeviceBroker.java', 'services/core/java/com/android/server/am/ActivityManagerService.java', 'services/core/java/com/android/server/audio/BtHelper.java', 'media/java/android/media/AudioSystem.java']",33,4,"[2, 2, 23, 6]"
26,62f4dee264cabcd5595e6e4c0a6ab3228281d3e0,5,5,"['services/core/java/com/android/server/wm/ActivityStack.java', 'services/core/java/com/android/server/audio/AudioService.java', 'packages/SystemUI/src/com/android/systemui/qs/QSPanel.java', 'services/core/java/com/android/server/am/ActiveServices.java', 'services/core/java/com/android/server/audio/AudioDeviceInventory.java']",92,10,"[67, 15, 3, 7, 0]"
27,32c3556fef45f3b7fb003880f4e23227cda95f74,1,1,['core/java/android/bluetooth/BluetoothAdapter.java'],2,1,[2]
28,69bee5bb55994d647b678b2cb2ce1becd3d77b32,2,2,"['services/core/java/com/android/server/wm/TaskDisplayArea.java', 'services/core/java/com/android/server/BluetoothManagerService.java']",41,5,"[8, 33]"
29,24f36fd2514856aaafe6a32a99050e272a6bd361,10,9,"['services/core/java/com/android/server/audio/AudioDeviceBroker.java', 'services/core/java/com/android/server/wm/ActivityStack.java', 'services/core/java/com/android/server/connectivity/NetworkAgentInfo.java', 'telephony/java/android/telephony/CellIdentityLte.java', 'services/core/java/com/android/server/audio/BtHelper.java', 'telephony/java/android/telephony/CellIdentityWcdma.java', 'telephony/java/android/telephony/CellIdentityTdscdma.java', 'core/java/android/view/ViewRootImpl.java']",102,10,"[4, 4, 2, 1, 88, 1, 1, 1]"
30,799030b703da27e7117eba75c2ca753b0e976a8d,96,5,"['packages/SettingsLib/src/com/android/settingslib/wifi/AccessPoint.java', 'core/java/android/bluetooth/BluetoothCodecConfig.java', 'telephony/java/android/telephony/ServiceState.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'packages/SettingsLib/src/com/android/settingslib/wifi/WifiTracker.java']",55,10,"[25, 4, 1, 18, 7]"
31,df73284a33506ba26aadbd20a1dbd01353820200,9,6,"['services/core/java/com/android/server/wm/DisplayContent.java', 'services/core/java/com/android/server/BluetoothManagerService.java', 'services/core/java/com/android/server/LocationManagerService.java', 'services/core/java/com/android/server/am/ProcessRecord.java', 'core/java/android/app/ActivityManagerInternal.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/WifiSignalController.java']",294,13,"[203, 61, 23, 2, 2, 3]"
32,c77ad764fad2451538f140b31601e7b8c6c59fa2,8,4,"['services/core/java/com/android/server/location/GnssNetworkConnectivityHandler.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java', 'core/java/android/bluetooth/BluetoothDevice.java', 'core/java/android/view/InputEventReceiver.java']",54,5,"[1, 24, 9, 20]"
33,6f47ceafbe6febe54aa5c376baed3415cdf848ad,6,6,"['packages/Tethering/common/TetheringLib/src/android/net/TetheringManager.java', 'packages/Tethering/src/com/android/server/connectivity/tethering/Tethering.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', 'services/core/java/com/android/server/am/ProcessList.java', 'core/java/android/content/pm/ApplicationInfo.java', 'services/core/java/com/android/server/wm/ScreenRotationAnimation.java']",39,8,"[12, 2, 8, 11, 5, 1]"
34,6aa497092f6337fbafb5b9858a3ec8f28c9d3caf,5,3,"['core/java/android/os/Process.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/A2dpProfile.java', 'services/core/java/com/android/server/pm/PackageManagerService.java']",76,7,"[22, 23, 31]"
