,Merge,Conf_files,Conf_javas,Conf_details,Loc,Loc_details
34,6aa497092f6337fbafb5b9858a3ec8f28c9d3caf,5,3,"['core/java/android/os/Process.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/A2dpProfile.java', 'services/core/java/com/android/server/pm/PackageManagerService.java']",17,"[11, 4, 2]"
35,a33382db0bb0bc29bab84f1e5ee36d682bea593e,11,8,"['core/java/android/bluetooth/BluetoothAdapter.java', 'core/java/android/view/InsetsController.java', 'services/core/java/com/android/server/BluetoothManagerService.java', 'core/java/android/view/InsetsSourceConsumer.java', 'wifi/java/android/net/wifi/SoftApConfiguration.java', 'core/java/android/view/InsetsSourceControl.java', 'services/core/java/com/android/server/ConnectivityService.java', 'core/java/android/content/pm/ApplicationInfo.java']",94,"[6, 42, 36, 1, 2, 3, 0, 4]"
36,b6292e3e1ba3616eac1032737a91925391d94b92,7,5,"['packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java', 'services/core/java/com/android/server/am/ActivityManagerConstants.java', 'services/core/java/com/android/server/statusbar/StatusBarManagerService.java', 'services/core/java/com/android/server/Watchdog.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/A2dpProfile.java']",28,"[1, 0, 0, 7, 20]"
37,8faa0d981413f18b2468dde1b1fe71e248df0df1,20,15,"['wifi/java/android/net/wifi/ScanResult.java', 'services/core/java/com/android/server/wm/ActivityStack.java', 'wifi/java/android/net/wifi/WifiConfiguration.java', 'services/core/java/com/android/server/connectivity/NetworkAgentInfo.java', 'packages/SystemUI/src/com/android/systemui/qs/QSPanel.java', 'packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'services/core/java/com/android/server/wm/ActivityRecord.java', 'services/core/java/com/android/server/Watchdog.java', 'services/core/java/com/android/server/am/ProcessRecord.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java', 'core/java/android/view/SurfaceControl.java', 'services/core/java/com/android/server/ConnectivityService.java', 'wifi/java/android/net/wifi/WifiEnterpriseConfig.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/WifiSignalController.java']",62,"[4, 1, 4, 0, 0, 0, 26, 0, 8, 1, 6, 0, 10, 0, 2]"
38,3d2fc559e13b7293212955f1858d443f4fe8234e,17,14,"['telecomm/java/android/telecom/Connection.java', 'services/core/java/com/android/server/connectivity/NetworkAgentInfo.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkControllerImpl.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelViewController.java', 'packages/SystemUI/src/com/android/systemui/qs/tiles/HotspotTile.java', 'services/core/java/com/android/server/am/ActivityManagerConstants.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'wifi/java/android/net/wifi/SoftApConfiguration.java', 'services/core/java/com/android/server/display/LocalDisplayAdapter.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', 'services/core/java/com/android/server/ConnectivityService.java', 'telecomm/java/android/telecom/ConnectionService.java', 'telecomm/java/android/telecom/Call.java']",128,"[23, 1, 0, 1, 0, 2, 1, 8, 4, 40, 11, 11, 2, 24]"
39,af02bd5317cc0cced0a7646d5bbf407a181dda9c,33,26,"['core/java/com/android/ims/internal/uce/common/CapInfo.java', 'packages/SystemUI/src/com/android/systemui/qs/tiles/CellularTile.java', 'services/core/java/com/android/server/am/ActivityManagerConstants.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarSignalPolicy.java', 'packages/SystemUI/tests/src/com/android/systemui/statusbar/policy/CallbackHandlerTest.java', 'telecomm/java/android/telecom/ConnectionService.java', 'core/java/android/bluetooth/BluetoothAdapter.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkController.java', 'services/core/java/com/android/server/wm/WindowManagerService.java', 'packages/SystemUI/tests/src/com/android/systemui/statusbar/policy/NetworkControllerBaseTest.java', 'wifi/java/android/net/wifi/WifiInfo.java', 'packages/SystemUI/src/com/android/systemui/qs/QSPanel.java', 'location/java/android/location/LocationManager.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/CallbackHandler.java', 'packages/SystemUI/src/com/android/systemui/qs/QSCarrierGroupController.java', 'services/core/java/com/android/server/display/WifiDisplayController.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/LocalBluetoothProfileManager.java', 'packages/SystemUI/tests/src/com/android/systemui/qs/QSCarrierGroupControllerTest.java', 'telecomm/java/android/telecom/Call.java', 'telecomm/java/android/telecom/Connection.java', 'services/core/java/com/android/server/connectivity/NetworkAgentInfo.java', 'services/core/java/com/android/server/audio/AudioService.java', 'services/core/java/com/android/server/wm/ActivityRecord.java', 'services/core/java/com/android/server/ConnectivityService.java']",126,"[3, 4, 2, 5, 4, 1, 1, 3, 6, 1, 4, 5, 0, 8, 9, 4, 2, 1, 1, 9, 9, 1, 3, 1, 39]"
40,d28a4f6b38dbab44128b4319f665dd65c3e4ec2c,26,17,"['core/java/android/os/Process.java', 'services/core/java/com/android/server/am/ActivityManagerService.java', 'telecomm/java/android/telecom/ConnectionService.java', 'telecomm/java/android/telecom/Conference.java', 'telephony/java/com/android/internal/telephony/TelephonyIntents.java', 'core/java/android/bluetooth/BluetoothAdapter.java', 'wifi/java/com/android/server/wifi/BaseWifiService.java', 'packages/Tethering/src/android/net/ip/IpServer.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', 'core/java/android/app/ActivityManagerInternal.java', 'services/core/java/com/android/server/wm/ActivityStack.java', 'packages/Tethering/common/TetheringLib/src/android/net/TetheringManager.java', 'services/core/java/com/android/server/am/ProcessList.java', 'services/core/java/com/android/server/am/CachedAppOptimizer.java', 'services/core/java/com/android/server/wm/ActivityRecord.java', 'services/core/java/com/android/server/am/ProcessRecord.java', 'services/core/java/com/android/server/ConnectivityService.java']",235,"[9, 0, 4, 27, 2, 2, 4, 6, 1, 15, 1, 2, 0, 2, 2, 1, 157]"
41,71998c3d8b36220df1be12fe6e1ba7eda81cde41,45,37,"['core/java/com/android/ims/internal/uce/common/CapInfo.java', 'packages/SettingsProvider/src/com/android/providers/settings/DatabaseHelper.java', 'services/core/java/com/android/server/accounts/AccountManagerService.java', 'wifi/java/android/net/wifi/wificond/WifiCondManager.java', 'services/core/java/com/android/server/am/ActivityManagerConstants.java', 'packages/Tethering/src/com/android/server/connectivity/tethering/Tethering.java', 'services/core/java/com/android/server/am/ActivityManagerService.java', 'core/java/android/view/InputEventReceiver.java', 'core/java/android/accounts/AccountManager.java', 'core/java/android/bluetooth/BluetoothAdapter.java', 'packages/Tethering/src/android/net/ip/IpServer.java', 'wifi/java/com/android/server/wifi/BaseWifiService.java', 'core/java/android/hardware/camera2/CameraDevice.java', 'wifi/java/android/net/wifi/WifiManager.java', 'services/core/java/com/android/server/locksettings/LockSettingsService.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java', 'telephony/java/android/telephony/PhoneNumberUtils.java', 'services/core/java/com/android/server/location/GnssLocationProvider.java', 'wifi/java/android/net/wifi/SoftApConfiguration.java', 'services/core/java/com/android/server/Watchdog.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', 'packages/Tethering/src/com/android/server/connectivity/tethering/TetheringConfiguration.java', 'core/java/android/util/NtpTrustedTime.java', 'packages/SystemUI/src/com/android/systemui/statusbar/phone/PanelView.java', 'services/core/java/com/android/server/wm/ActivityStack.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkControllerImpl.java', 'services/core/java/com/android/server/BluetoothManagerService.java', 'core/java/android/util/TrustedTime.java', 'telephony/java/android/telephony/SmsManager.java', 'telephony/java/android/telephony/DisconnectCause.java', 'packages/SettingsLib/src/com/android/settingslib/wifi/AccessPoint.java', 'packages/SystemUI/src/com/android/systemui/statusbar/policy/WifiSignalController.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'services/core/java/com/android/server/wm/ActivityRecord.java', 'services/core/java/com/android/server/am/ProcessRecord.java', 'core/java/android/provider/Settings.java']",495,"[0, 1, 0, 58, 8, 17, 5, 8, 7, 5, 10, 5, 1, 23, 1, 2, 1, 2, 243, 11, 1, 15, 6, 16, 3, 1, 1, 20, 1, 4, 7, 0, 2, 1, 3, 0, 6]"
42,43ceded8caaffead0a2a1967f42a4ef4bb658ced,28,21,"['packages/SystemUI/src/com/android/keyguard/EmergencyButton.java', 'core/java/android/content/ContentResolver.java', 'core/java/android/content/Intent.java', 'wifi/java/android/net/wifi/WifiManager.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java', 'packages/Tethering/src/com/android/server/connectivity/tethering/UpstreamNetworkMonitor.java', 'wifi/java/android/net/wifi/SoftApConfiguration.java', 'services/core/java/com/android/server/display/LocalDisplayAdapter.java', 'services/core/java/com/android/server/wm/ActivityTaskManagerService.java', 'services/core/java/com/android/server/pm/PackageManagerService.java', 'wifi/java/android/net/wifi/ScanResult.java', 'services/core/java/com/android/server/wm/ActivityStack.java', 'services/core/java/com/android/server/wm/ActivityStackSupervisor.java', 'core/java/android/widget/RemoteViews.java', 'telephony/java/android/telephony/SmsManager.java', 'wifi/java/android/net/wifi/WifiEnterpriseConfig.java', 'services/core/java/com/android/server/am/ProcessList.java', 'telephony/java/android/telephony/CarrierConfigManager.java', 'services/core/java/com/android/server/am/ProcessRecord.java', 'wifi/java/android/net/wifi/WifiConfiguration.java', 'services/core/java/com/android/server/audio/AudioDeviceInventory.java']",186,"[1, 2, 1, 17, 2, 4, 50, 1, 2, 4, 10, 1, 2, 6, 12, 0, 9, 0, 2, 33, 27]"
43,ae1b3a8f3221dbe692fd90d414cfe5040538c264,16,13,"['services/core/java/com/android/server/audio/AudioDeviceBroker.java', 'core/java/android/bluetooth/BluetoothCodecConfig.java', 'wifi/java/android/net/wifi/ScanResult.java', 'services/core/java/com/android/server/wm/ActivityStack.java', 'services/core/java/com/android/server/wm/ActivityDisplay.java', 'services/core/java/com/android/server/wm/ActivityStackSupervisor.java', 'services/core/java/com/android/server/wm/ActivityRecord.java', 'packages/SettingsLib/src/com/android/settingslib/wifi/AccessPoint.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/LocalBluetoothProfileManager.java', 'services/core/java/com/android/server/am/ActivityManagerService.java', 'services/core/java/com/android/server/wm/ActivityMetricsLogger.java', 'services/core/java/com/android/server/ConnectivityService.java', 'services/core/java/com/android/server/pm/PackageManagerService.java']",81,"[11, 4, 2, 3, 0, 13, 1, 24, 7, 0, 14, 1, 1]"
